"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка позитивного сценария создания проекта","23863","Создание проекта и его удаление","Surefire suite","Fri Jan 30 18:32:04 UTC 2026","passed","Fri Jan 30 18:32:27 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка успешного создания проекта и возможности получить его по коду.","829","Создание проекта","Surefire suite","Fri Jan 30 18:30:05 UTC 2026","passed","Fri Jan 30 18:30:06 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndBeAvailableByCode"
"","1543","Удаление тест-кейса","Surefire suite","Fri Jan 30 18:29:49 UTC 2026","passed","Fri Jan 30 18:29:50 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldDeleteTestCase"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","220","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 30 18:30:12 UTC 2026","passed","Fri Jan 30 18:30:12 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"Проверка успешного удаления проекта и его недоступности после удаления.","1008","Удаление проекта","Surefire suite","Fri Jan 30 18:30:08 UTC 2026","passed","Fri Jan 30 18:30:09 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldDeleteProjectAndMakeItUnavailable"
"Проверка позитивного сценария добавления тест-кейса в проект.","1609","Создание тест-кейса и получение его по id","Surefire suite","Fri Jan 30 18:29:47 UTC 2026","passed","Fri Jan 30 18:29:48 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldCreateTestCaseInProject"
"Проверка валидации: при создании проекта без обязательного поля Title сервер возвращает ошибку.","275","Создание проекта без Title должно вернуть ошибку 400","Surefire suite","Fri Jan 30 18:30:11 UTC 2026","passed","Fri Jan 30 18:30:11 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithoutTitle"
"","16460","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 18:31:16 UTC 2026","failed","Fri Jan 30 18:31:33 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректного обновления тест-кейса методом PATCH на примере поля type.","3104","Обновление тест-кейса: PATCH, поле type","Surefire suite","Fri Jan 30 18:30:01 UTC 2026","passed","Fri Jan 30 18:30:04 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldUpdateTestCase"
"Проверка корректности данных, возвращаемых при создании проекта","802","Создание проекта: проверка полей title и code","Surefire suite","Fri Jan 30 18:30:07 UTC 2026","passed","Fri Jan 30 18:30:07 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldCreateProjectAndReturnCorrectTitleAndCode"
"","12055","Создание проекта без названия: проверка ошибки","Surefire suite","Fri Jan 30 18:32:28 UTC 2026","passed","Fri Jan 30 18:32:40 UTC 2026","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProjectWithNegative"
"","27707","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 18:30:48 UTC 2026","passed","Fri Jan 30 18:31:16 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка уникальности project code: повторное создание проекта с тем же code запрещено.","691","Создание проекта с уже существующим code должно вернуть ошибку","Surefire suite","Fri Jan 30 18:30:10 UTC 2026","passed","Fri Jan 30 18:30:10 UTC 2026","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","shouldFailToCreateProjectWithDuplicateCode"
"","29254","Создание тест-кейса с разными входными данными","Surefire suite","Fri Jan 30 18:31:34 UTC 2026","passed","Fri Jan 30 18:32:03 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","testCaseShouldHasCorrectSpecs"
"Проверка корректной фильтрации тест-кейсов:
- создаётся проект
- добавляются тест-кейсы с разными типами
- выполняется фильтрация по типу SMOKE
- проверяется количество отфильтрованных тест-кейсов
","7088","Фильтрация тест-кейсов по типу ","Surefire suite","Fri Jan 30 18:29:51 UTC 2026","passed","Fri Jan 30 18:29:58 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldFilterCasesByType"
"Проверка, что пользователь может создать тест-кейс через веб-интерфейс","35084","Создание тест-кейса через UI","Surefire suite","Fri Jan 30 18:30:12 UTC 2026","passed","Fri Jan 30 18:30:47 UTC 2026","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","32622","createTestSuite","Surefire suite","Fri Jan 30 18:32:40 UTC 2026","passed","Fri Jan 30 18:33:13 UTC 2026","tests.ui.SuiteTest","Surefire test","tests.ui.SuiteTest","createTestSuite"
"Проверка корректного увеличения количества тест-кейсов в проекте.","2011","Добавление нескольких тест-кейсов и проверка их количества в проекте","Surefire suite","Fri Jan 30 18:29:59 UTC 2026","passed","Fri Jan 30 18:30:01 UTC 2026","tests.api.CaseTest","Surefire test","tests.api.CaseTest","shouldIncreaseTestCaseCountInProject"
